timestamp,load,ram_usage
287721567,0.53827,0.8854393
288723567,0.648342,0.88564265
289724475,0.606424,0.88564265
290725766,0.602006,0.88564265
291727652,0.606844,0.88564265
292728475,0.603743,0.88564265
293730765,0.593576,0.88564265
294732511,0.607357,0.88564265
295735582,0.666347,0.88564265
296737329,0.669368,0.88564265
297737846,0.666965,0.88564265
298740270,0.671031,0.88564265
299740571,0.673556,0.88564265
300742846,0.664665,0.88564265
301742475,0.668577,0.88564265
302744581,0.673437,0.88564265
303745106,0.668662,0.88564265
304745872,0.668839,0.88564265
305746475,0.668245,0.88564265
306747475,0.660836,0.88564265
307749668,0.662079,0.88564265
308750475,0.669993,0.88564265
309753992,0.669727,0.88564265
310755475,0.668453,0.88564265
311755503,0.670223,0.88564265
312756569,0.673215,0.88564265
313762966,0.681915,0.88564265
314764285,0.69534,0.88564265
315766124,0.702857,0.88564265
316767710,0.739312,0.88564265
317773263,0.745388,0.88564265
318776475,0.736607,0.88564265
319779685,0.776864,0.8863883
320795616,0.776413,0.88652384
321796475,0.778913,0.88652384
322803475,0.779723,0.88652384
323803564,0.785724,0.88652384
324807347,0.776615,0.88652384
325813141,0.786595,0.88652384
326814847,0.778211,0.88652384
327817005,0.759294,0.88652384
328819997,0.732427,0.88652384
329821286,0.726639,0.88652384
330824266,0.723238,0.88652384
331826635,0.729764,0.88652384
332828454,0.730918,0.88652384
333830189,0.722196,0.88652384
334832896,0.727584,0.88652384
335834815,0.777286,0.88652384
336840803,0.784977,0.88652384
337848479,0.776387,0.88652384
338852998,0.785309,0.88652384
339854954,0.782406,0.88652384
340862176,0.772466,0.88652384
341875552,0.7765,0.88652384
342876475,0.785677,0.88652384
343878124,0.780585,0.88652384
344880249,0.788409,0.88652384
345883044,0.777914,0.88652384
346895298,0.778463,0.88652384
347900490,0.776074,0.88652384
348902761,0.783519,0.88652384
349904837,0.785892,0.88652384
350907398,0.789394,0.88652384
351907796,0.78919,0.88652384
352908531,0.785748,0.88652384
353912034,0.78725,0.88652384
354912475,0.771466,0.88652384
355927205,0.785014,0.88652384
356928468,0.781734,0.88652384
357932293,0.78322,0.88652384
358938749,0.787867,0.88652384
359941400,0.78634,0.88652384
360943491,0.778837,0.88652384
361949917,0.781518,0.88652384
362955214,0.782614,0.88652384
363955475,0.782402,0.88652384
364957222,0.79049,0.88652384
365963771,0.781638,0.88652384
366967169,0.779864,0.88652384
367970041,0.777339,0.88652384
368971703,0.780576,0.88652384
369975618,0.784169,0.88652384
370981632,0.783504,0.88652384
371988815,0.782418,0.88652384
372990880,0.787697,0.88652384
373994513,0.769975,0.88652384
374997413,0.72796303,0.88652384
376003675,0.729357,0.88652384
377005179,0.731004,0.88652384
378006145,0.730875,0.88652384
379008475,0.72881,0.88652384
380010077,0.735745,0.88652384
381009625,0.728264,0.88652384
382012238,0.721556,0.88652384
383014046,0.731108,0.88652384
384015779,0.734954,0.88652384
385019156,0.728148,0.88652384
386020821,0.72691,0.88652384
387021392,0.735942,0.88652384
388023646,0.734444,0.88652384
389024505,0.720322,0.88652384
390028469,0.735207,0.88652384
391029838,0.73534,0.88652384
392031331,0.735742,0.88652384
393032486,0.72907,0.88652384
394035380,0.732345,0.88652384
395036599,0.724273,0.88652384
396046354,0.724488,0.88652384
397047475,0.739375,0.88652384
398054105,0.766665,0.88652384
399054641,0.783569,0.88652384
400058439,0.782772,0.88652384
401058475,0.781741,0.88652384
402060244,0.775246,0.88652384
403061114,0.786212,0.88652384
404060563,0.78239,0.88652384
405064339,0.78596,0.88652384
406069763,0.788274,0.88652384
407081779,0.78018,0.88652384
408084015,0.784293,0.88652384
409089568,0.772261,0.88652384
410092281,0.782278,0.88652384
411096418,0.787814,0.88652384
412100892,0.784858,0.88652384
413105068,0.751361,0.88652384
414108069,0.729871,0.88652384
415109090,0.733393,0.88652384
416112447,0.721127,0.88652384
417114475,0.731637,0.88652384
418114724,0.777995,0.88652384
419114809,0.784272,0.88652384
420120188,0.782296,0.88652384
421121390,0.787506,0.88652384
422124159,0.780971,0.88652384
423125986,0.772916,0.88652384
424133764,0.779148,0.88652384
425136515,0.786274,0.88652384
426140486,0.787884,0.88652384
427143270,0.782937,0.88652384
428144504,0.786589,0.88652384
429148050,0.785658,0.88652384
430148424,0.778819,0.88652384
431152067,0.781175,0.88652384
432154676,0.783287,0.88652384
433155684,0.782186,0.88652384
434159675,0.757738,0.88652384
435163514,0.731409,0.88652384
436163710,0.722227,0.88652384
437166889,0.731013,0.88652384
438166475,0.730569,0.88652384
439168400,0.730826,0.88652384
440170865,0.727435,0.88652384
441173026,0.732436,0.88652384
442175799,0.729106,0.88652384
443177939,0.720622,0.88652384
444180841,0.730166,0.88652384
445183734,0.78782,0.88652384
446188983,0.787857,0.88652384
447190847,0.786022,0.88652384
448194419,0.786106,0.88652384
449203745,0.781637,0.88652384
450206138,0.777925,0.88652384
451206541,0.787349,0.88652384
452212170,0.783713,0.88652384
453214117,0.782665,0.88652384
454225126,0.781742,0.88652384
455227575,0.783153,0.88652384
456230528,0.778185,0.88652384
457231761,0.786146,0.88652384
458233628,0.790996,0.88652384
459237110,0.782205,0.88652384
460240496,0.782373,0.88652384
461242998,0.786657,0.88652384
462243475,0.780848,0.88652384
463244937,0.779049,0.88652384
464246619,0.781161,0.88652384
465249268,0.782345,0.88652384
466258497,0.787749,0.88652384
