timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
307366159,24.454607,24.507994,63.966152,69.930786,0.0,299.48145,0.9786889,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
307871592,24.578272,24.528513,63.791725,68.31466,0.0,308.85605,0.9780192,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
308376437,24.38041,24.479334,79.106346,73.48545,0.0,319.63324,0.9772496,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
308868513,24.479342,24.465343,65.91972,73.21734,0.0,329.68127,0.97653204,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
309374160,24.67102,24.454283,64.90805,71.509125,0.0,339.6224,0.97582215,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
309879680,24.398958,24.456732,77.606285,70.90591,0.0,349.46817,0.97511876,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
310373168,24.32476,24.441877,76.3853,71.52845,0.0,359.36713,0.97441167,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
310877253,24.76995,24.476824,56.954212,67.34618,0.0,368.57852,0.9737538,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
311382786,24.819418,24.531765,62.11723,62.872517,0.0,376.94458,0.97315633,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
311876603,24.76995,24.573002,59.570606,61.058895,0.0,385.11615,0.97257274,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
312382067,24.504074,24.59879,57.33795,59.72482,0.0,393.36078,0.9719839,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
312887666,24.850334,24.64241,43.9769,56.04441,0.0,400.95526,0.9714416,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
313379671,24.745218,24.695047,50.3609,51.440758,0.0,407.43848,0.97097874,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
313885257,24.615372,24.707964,55.00064,51.028053,0.0,414.5445,0.97047126,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
314390038,24.739035,24.718767,55.419266,51.606674,0.0,421.8132,0.9699521,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
314882876,24.72667,24.69455,53.779655,54.36474,0.0,429.5348,0.9694006,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
315386915,24.578272,24.641176,58.105423,59.804443,0.0,438.4117,0.9687664,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
315891563,24.34331,24.572815,71.11763,63.84024,0.0,447.84143,0.9680928,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
316383678,24.42369,24.550974,48.511982,61.155304,0.0,456.02835,0.967508,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
316889234,24.84415,24.594751,50.988834,56.70969,0.0,463.53876,0.96697164,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
317394013,24.973997,24.646948,45.442078,52.491066,0.0,470.53494,0.96647185,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
317887632,24.8998,24.690212,48.372444,50.413986,0.0,477.23636,0.9659933,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
318391641,25.023464,24.776861,39.54647,44.644516,0.0,482.95618,0.9655847,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
318897110,24.76995,24.837284,39.162735,41.645924,0.0,488.50827,0.96518815,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
319390685,24.745218,24.899391,49.209686,40.541042,0.0,493.69766,0.9648175,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
319892300,25.184227,24.887491,27.162207,43.319317,0.0,500.2964,0.9643461,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
320397840,25.320257,25.020393,19.73165,29.967453,0.0,503.09073,0.96414673,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
320901902,25.320257,25.12264,12.475515,20.535152,0.0,504.97693,0.96401197,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
321407585,25.314074,25.18902,17.219912,18.773697,0.0,507.3778,0.9638404,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
321901036,25.320257,25.218822,16.522205,18.843414,0.0,509.96228,0.963656,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
