timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
582338879,24.662687,24.688158,0.0,1.0379247e-06,-1.0,0.09972196,0.92438155,1.007254,nan,6,4.114693,4.114693,4.114693,4.114693,4.114693,4.114693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
582529227,24.682737,24.687857,0.0,7.124635e-07,-1.0,0.09972196,0.939297,1.0058148,nan,6,4.1146426,4.1146426,4.1146426,4.1146426,4.1146426,4.1146426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
582729535,24.657217,24.68749,0.0,4.794675e-07,-1.0,0.09972196,0.95389205,1.0044106,nan,6,4.1145816,4.1145816,4.1145816,4.1145816,4.1145816,4.1145816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
582928879,24.688206,24.687288,0.0,3.2266792e-07,-1.0,0.09972196,0.9677785,1.0030781,nan,6,4.114548,4.114548,4.114548,4.114548,4.114548,4.114548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
583138877,24.67271,24.680338,0.0,2.1288854e-07,-1.0,0.09972196,0.979194,1.0019854,nan,6,4.1133895,4.1133895,4.1133895,4.1133895,4.1133895,4.1133895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
583338876,24.597065,24.67184,0.0,1.4326787e-07,-1.0,0.09972196,0.9891818,1.0010314,nan,6,4.1119733,4.1119733,4.1119733,4.1119733,4.1119733,4.1119733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
583528878,24.502277,24.663568,0.0,9.8343484e-08,-1.0,0.09972196,0.99890167,1.0001045,nan,6,4.1105947,4.1105947,4.1105947,4.1105947,4.1105947,4.1105947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
583728877,24.536913,24.64071,0.0,6.6182345e-08,-1.0,0.09972196,1.0,1.0,nan,6,4.1067853,4.1067853,4.1067853,4.1067853,4.1067853,4.1067853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
583928890,24.531443,24.61829,0.0,4.4538815e-08,-1.0,0.09972196,1.0,1.0,nan,6,4.1030483,4.1030483,4.1030483,4.1030483,4.1030483,4.1030483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
584128908,24.37286,24.590569,0.0,2.997334e-08,-1.0,0.09972196,1.0,1.0,nan,6,4.0984282,4.0984282,4.0984282,4.0984282,4.0984282,4.0984282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
584328885,24.395645,24.557262,0.0,2.0171198e-08,-1.0,0.09972196,1.0,1.0,nan,6,4.092877,4.092877,4.092877,4.092877,4.092877,4.092877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
584539002,24.299034,24.512398,0.0,1.33084725e-08,-1.0,0.09972196,1.0,1.0,nan,6,4.0853996,4.0853996,4.0853996,4.0853996,4.0853996,4.0853996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
584738877,24.194221,24.466284,0.0,0.0051652603,-1.0,0.100538604,1.0,1.0,nan,6,4.077714,4.077714,4.077714,4.077714,4.077714,4.077714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
